Orientador,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
Marco Cetale,0,1,3,5,1,2,3,0,1,3,1,3,2,0,5,1,1,3,35
Antonio Freire,0,0,0,0,0,0,0,0,0,3,1,10,1,4,3,0,1,1,24
Arthur Neto,0,3,4,3,1,2,1,1,1,2,0,4,0,0,0,0,0,1,23
Wagner Lupinacci,0,0,0,0,0,0,0,0,1,3,1,2,0,2,3,2,1,4,19
Rogério Santos,1,1,2,1,1,4,0,0,2,1,0,0,0,0,3,0,1,0,17
Eliane Alves,0,0,3,1,0,4,4,0,3,0,0,1,0,0,0,0,0,0,16
Cleverson Silva,0,1,4,2,0,3,0,0,1,1,1,0,1,0,0,0,0,0,14
Adalberto da Silva,0,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,9
Jose Antonio,0,0,0,0,0,1,1,0,0,1,3,0,0,0,1,0,0,0,7
Rodrigo Bijani,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,2,0,0,7
Jorge Leonardo Martins,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,6
Luiz Alberto Santos,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,6
Alexandre Motta Borges,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Andr� Luiz Ferrari,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4
Gilmar Vital Bueno,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,4
Emanuele La Terra,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
Leandro Di Bartolo,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3
Daniel Ribeiro Franco,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3
Leonardo Miquelutti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3
Francisco Abrantes Jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3
Sergio L. Fontes,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Marco Polo  Buonora,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Luiz Carlos Benyosef,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,4
Jorge Jesus Cunha Palma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sidney Luiz de Matos,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Marcus Aguiar Gorini,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jorge Leonardo Martins,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jandyr de Menezes Travassos,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rodrigo Bagueira V. de Azeredo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Andr�s Reinaldo Rodriguez Papa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Susanna Eleonora Sichel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Guilherme Vasquez,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Ana Beatriz Quintal Andr�,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Katia Jasbinschek dos Reis Pinheiro,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Andr� Alves de Souza,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Giovanni Chaves Stael,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Humberto Marotta Ribeiro,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
William Menke,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Fabio Luiz Dias,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Paulo Buarque,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Luiz Ant�nio Pierantoni Gamb�a,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Kristoffer A. T. Hallam,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Mario Martins Ramos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
C�tia Fernandes Barbosa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Victoria Ribeiro Carreira,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Fabiano Gilberto Wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Gabrield Brando Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Luiz Carlos Torres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Daniela Lazzaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F�bio Pinto Vieira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

